,KeggID,Description
107,gn:T00109,"bja; Bradyrhizobium diazoefficiens USDA 110, endosymbiont of Glycine max (soybean) (Bradyrhizobium japonicum USDA110)"
108,gn:T00110,sep; Staphylococcus epidermidis ATCC 12228
109,gn:T00111,"bab; Buchnera aphidicola Bp, endosymbiont of Baizongia pistaciae"
110,gn:T00112,ctc; Clostridium tetani E88
111,gn:T00113,xft; Xylella fastidiosa Temecula1
112,gn:T00114,ppu; Pseudomonas putida KT2440
113,gn:T00115,lpl; Lactobacillus plantarum WCFS1
114,gn:T00116,twh; Tropheryma whipplei Twist
115,gn:T00117,tws; Tropheryma whipplei TW08/27
116,gn:T00118,pst; Pseudomonas syringae pv. tomato DC3000
117,gn:T00119,sps; Streptococcus pyogenes SSI-1 (serotype M3)
118,gn:T00120,vpa; Vibrio parahaemolyticus RIMD 2210633
119,gn:T00121,stt; Salmonella enterica subsp. enterica serovar Typhi Ty2
120,gn:T00122,bth; Bacteroides thetaiotaomicron VPI-5482
121,gn:T00123,efa; Enterococcus faecalis V583
122,gn:T00124,cbu; Coxiella burnetii RSA 493
123,gn:T00125,cca; Chlamydia caviae GPIC
124,gn:T00126,sma; Streptomyces avermitilis MA-4680
125,gn:T00127,bce; Bacillus cereus ATCC 14579
126,gn:T00128,sfx; Shigella flexneri 2457T (serotype 2a)
127,gn:T00129,ban; Bacillus anthracis Ames
128,gn:T00130,neu; Nitrosomonas europaea ATCC 19718
129,gn:T00131,mga; Mycoplasma gallisepticum R(low)
130,gn:T00132,mbo; Mycobacterium tuberculosis variant bovis AF2122/97 (Mycobacterium bovis AF2122/97)
131,gn:T00133,hhe; Helicobacter hepaticus ATCC 51449
132,gn:T00134,rba; Rhodopirellula baltica SH 1 (Pirellula sp. strain 1)
133,gn:T00135,hdu; Haemophilus ducreyi 35000HP
134,gn:T00136,cpt; Chlamydia pneumoniae TW-183
135,gn:T00137,pma; Prochlorococcus marinus subsp. marinus CCMP1375 (Prochlorococcus marinus SS120)
136,gn:T00138,"bfl; Candidatus Blochmannia floridanus, endosymbiont of Camponotus floridanus (Florida carpenter ant)"
137,gn:T00139,bpe; Bordetella pertussis Tohama I
138,gn:T00140,bpa; Bordetella parapertussis 12822
139,gn:T00141,bbr; Bordetella bronchiseptica RB50
140,gn:T00142,pmm; Prochlorococcus marinus subsp. pastoris CCMP1986 (Prochlorococcus marinus MED4)
141,gn:T00143,pmt; Prochlorococcus marinus MIT 9313
142,gn:T00144,syw; Parasynechococcus marenigrum WH 8102 (Synechococcus sp. WH 8102)
143,gn:T00145,pgi; Porphyromonas gingivalis W83
144,gn:T00146,wsu; Wolinella succinogenes DSM 1740
145,gn:T00147,cvi; Chromobacterium violaceum ATCC 12472
146,gn:T00148,gvi; Gloeobacter violaceus PCC 7421
147,gn:T00149,plu; Photorhabdus laumondii subsp. laumondii TTO1 (Photorhabdus luminescens subsp. laumondii TTO1)
148,gn:T00150,vvy; Vibrio vulnificus YJ016 (biotype 1)
149,gn:T00151,cdi; Corynebacterium diphtheriae NCTC 13129
150,gn:T00152,neq; Nanoarchaeum equitans Kin4-M
151,gn:T00153,rpa; Rhodopseudomonas palustris CGA009
152,gn:T00154,poy; Onion yellows phytoplasma OY-M
153,gn:T00155,gsu; Geobacter sulfurreducens PCA
154,gn:T00156,mpa; Mycobacterium avium subsp. paratuberculosis K-10
155,gn:T00157,tde; Treponema denticola ATCC 35405
156,gn:T00158,ljo; Lactobacillus johnsonii NCC 533
157,gn:T00159,bba; Bdellovibrio bacteriovorus HD100
158,gn:T00160,"wol; Wolbachia sp. wMel, endosymbiont of Drosophila melanogaster (fruit fly)"
159,gn:T00161,mmy; Mycoplasma mycoides subsp. mycoides SC PG1
160,gn:T00162,bca; Bacillus cereus ATCC 10987
161,gn:T00163,syc; Synechococcus elongatus PCC 6301
162,gn:T00164,mmp; Methanococcus maripaludis S2
163,gn:T00165,ypm; Yersinia pestis 91001 (biovar Microtus)
164,gn:T00166,lic; Leptospira interrogans serovar Copenhageni Fiocruz L1-130
165,gn:T00167,ago; Ashbya gossypii (Eremothecium gossypii) ATCC 10895
166,gn:T00168,cpv; Cryptosporidium parvum Iowa II
167,gn:T00170,tth; Thermus thermophilus HB27
168,gn:T00171,dvu; Desulfovibrio vulgaris Hildenborough
169,gn:T00172,"pcu; Candidatus Protochlamydia amoebophila UWE25 (Parachlamydia sp. UWE25), endosymbiont of Acanthamoeba sp."
170,gn:T00173,ppr; Photobacterium profundum SS9
171,gn:T00174,lmf; Listeria monocytogenes F2365 (serotype 4b)
172,gn:T00175,cme; Cyanidioschyzon merolae 10D
173,gn:T00176,mmo; Mycoplasma mobile 163K
174,gn:T00177,pto; Picrophilus torridus DSM 9790
175,gn:T00178,bar; Bacillus anthracis Ames Ancestor
176,gn:T00179,btk; Bacillus thuringiensis serovar konkukian 97-27
177,gn:T00180,bhe; Bartonella henselae Houston-1
178,gn:T00181,bqu; Bartonella quintana Toulouse
179,gn:T00182,"sar; Staphylococcus aureus subsp. aureus MRSA252, methicillin-resistant"
180,gn:T00183,"sas; Staphylococcus aureus subsp. aureus MSSA476, methicillin-susceptible"
181,gn:T00184,bat; Bacillus anthracis Sterne
182,gn:T00185,aci; Acinetobacter baylyi ADP1 (Acinetobacter sp. ADP1)
183,gn:T00186,eca; Pectobacterium atrosepticum SCRI1043
184,gn:T00187,mfl; Mesoplasma florum L1
185,gn:T00188,pac; Cutibacterium acnes KPA171202 (Propionibacterium acnes KPA171202)
186,gn:T00189,cal; Candida albicans SC5314
187,gn:T00190,lxx; Leifsonia xyli subsp. xyli CTCB07
188,gn:T00191,spa; Streptococcus pyogenes MGAS10394 (serotype M6)
189,gn:T00192,dps; Desulfotalea psychrophila LSv54
190,gn:T00193,rty; Rickettsia typhi Wilmington (ATCC VR-144)
191,gn:T00194,bga; Borrelia garinii subsp. bavariensis PBi (Borrelia garinii PBi)
192,gn:T00195,yps; Yersinia pseudotuberculosis IP 32953 (serotype I)
193,gn:T00196,sth; Symbiobacterium thermophilum IAM 14863
194,gn:T00197,bli; Bacillus licheniformis ATCC 14580
195,gn:T00198,bcz; Bacillus cereus E33L (zebra killer)
196,gn:T00199,lpn; Legionella pneumophila subsp. pneumophila Philadelphia 1 (serogroup 1)
197,gn:T00200,bld; Bacillus licheniformis DSM 13 = ATCC 14580
198,gn:T00201,msu; Mannheimia succiniciproducens MBEL55E
199,gn:T00202,bfr; Bacteroides fragilis YCH46
200,gn:T00203,bps; Burkholderia pseudomallei K96243
201,gn:T00204,bma; Burkholderia mallei ATCC 23344
202,gn:T00205,mca; Methylococcus capsulatus Bath
203,gn:T00206,mhy; Mycoplasma hyopneumoniae 232
204,gn:T00207,nfa; Nocardia farcinica IFM 10152
205,gn:T00208,lpf; Legionella pneumophila Lens (serogroup 1)
206,gn:T00209,lpp; Legionella pneumophila Paris (serogroup 1)
207,gn:T00210,cho; Cryptosporidium hominis TU502
208,gn:T00211,hma; Haloarcula marismortui ATCC 43049
209,gn:T00212,stc; Streptococcus thermophilus CNRZ1066
210,gn:T00213,stl; Streptococcus thermophilus LMG 18311
211,gn:T00214,ftu; Francisella tularensis subsp. tularensis SCHU S4
212,gn:T00215,sil; Ruegeria pomeroyi DSS-3
213,gn:T00216,ama; Anaplasma marginale St. Maries
214,gn:T00217,gka; Geobacillus kaustophilus HTA426
215,gn:T00218,ilo; Idiomarina loihiensis L2TR
216,gn:T00219,spt; Salmonella enterica subsp. enterica serovar Paratyphi A ATCC 9150
217,gn:T00220,ttj; Thermus thermophilus HB8
218,gn:T00221,zmo; Zymomonas mobilis subsp. mobilis ZM4
219,gn:T00222,eba; Aromatoleum aromaticum EbN1
220,gn:T00223,det; Dehalococcoides mccartyi 195 (Dehalococcoides ethenogenes 195)
221,gn:T00224,eru; Ehrlichia ruminantium Welgevonden (South Africa)
222,gn:T00225,"sac; Staphylococcus aureus subsp. aureus COL, methicillin-resistant"
223,gn:T00226,tko; Thermococcus kodakarensis KOD1
224,gn:T00227,cjr; Campylobacter jejuni RM1221
225,gn:T00228,bcl; Alkalihalobacillus clausii KSM-K16 (Bacillus clausii KSM-K16)
226,gn:T00229,"ser; Staphylococcus epidermidis RP62A, methicillin-resistant"
227,gn:T00230,gox; Gluconobacter oxydans 621H
228,gn:T00231,lac; Lactobacillus acidophilus NCFM
229,gn:T00232,erg; Ehrlichia ruminantium Gardel
230,gn:T00233,erw; Ehrlichia ruminantium Welgevonden (France)
231,gn:T00234,"wbm; Wolbachia sp. wBm, endosymbiont strain TRS of Brugia malayi (nematode)"
232,gn:T00235,xoo; Xanthomonas oryzae pv. oryzae KACC 10331
233,gn:T00236,vfi; Aliivibrio fischeri ES114 (Vibrio fischeri ES114)
234,gn:T00237,ngo; Neisseria gonorrhoeae FA 1090
235,gn:T00238,ehi; Entamoeba histolytica
236,gn:T00239,bfs; Bacteroides fragilis NCTC 9343
237,gn:T00240,sec; Salmonella enterica subsp. enterica serovar Choleraesuis SC-B67
238,gn:T00241,bmb; Brucella abortus bv. 1 9-941
239,gn:T00242,cab; Chlamydia abortus S26/3 (Chlamydophila abortus S26/3)
240,gn:T00243,cne; Cryptococcus neoformans var. neoformans JEC21 (Filobasidiella neoformans JEC21)
241,gn:T00244,cgb; Corynebacterium glutamicum ATCC 13032 (Bielefeld)
242,gn:T00245,ddi; Dictyostelium discoideum AX4 (cellular slime mold)
243,gn:T00246,psb; Pseudomonas syringae pv. syringae B728a
244,gn:T00247,xcb; Xanthomonas campestris pv. campestris 8004 (Beijing)
245,gn:T00248,hit; Haemophilus influenzae 86-028NP (nontypeable)
246,gn:T00249,pfl; Pseudomonas protegens Pf-5
247,gn:T00250,sha; Staphylococcus haemolyticus JCSC1435
248,gn:T00251,sai; Sulfolobus acidocaldarius DSM 639
249,gn:T00252,rfe; Rickettsia felis URRWXCal2
250,gn:T00253,tan; Theileria annulata Ankara
251,gn:T00254,tpv; Theileria parva Muguga
252,gn:T00255,cjk; Corynebacterium jeikeium K411
253,gn:T00256,par; Psychrobacter arcticus 273-4
254,gn:T00257,pub; Candidatus Pelagibacter ubique HTCC1062
255,gn:T00258,cps; Colwellia psychrerythraea 34H
256,gn:T00259,dar; Dechloromonas aromatica RCB
257,gn:T00260,mhj; Mycoplasma hyopneumoniae J
258,gn:T00261,msy; Mycoplasma synoviae 53
259,gn:T00262,spz; Streptococcus pyogenes MGAS5005 (serotype M1)
260,gn:T00263,spb; Streptococcus pyogenes MGAS6180 (serotype M28)
261,gn:T00264,mhp; Mycoplasma hyopneumoniae 7448
262,gn:T00265,tfu; Thermobifida fusca YX
263,gn:T00266,psp; Pseudomonas savastanoi pv. phaseolicola 1448A (Pseudomonas syringae pv. phaseolicola 1448A)
264,gn:T00267,pmn; Prochlorococcus marinus NATL2A
265,gn:T00268,reu; Cupriavidus pinatubonensis JMP134 (Ralstonia eutropha JMP134)
266,gn:T00269,ssp; Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305
267,gn:T00270,ecn; Ehrlichia canis Jake
268,gn:T00271,mba; Methanosarcina barkeri Fusaro
269,gn:T00272,"bpn; Candidatus Blochmannia pennsylvanicus BPEN, endosymbiont of Camponotus pennsylvanicus (Black carpenter ant)"
270,gn:T00273,deh; Dehalococcoides mccartyi CBDB1
271,gn:T00274,ssn; Shigella sonnei Ss046
272,gn:T00275,tbd; Thiobacillus denitrificans ATCC 25259
273,gn:T00276,nwi; Nitrobacter winogradskyi Nb-255
274,gn:T00277,ava; Trichormus variabilis ATCC 29413 (Anabaena variabilis ATCC 29413)
275,gn:T00278,sak; Streptococcus agalactiae A909 (serotype Ia)
276,gn:T00279,nph; Natronomonas pharaonis DSM 2160
277,gn:T00280,cta; Chlamydia trachomatis A/HAR-13
278,gn:T00281,noc; Nitrosococcus oceani ATCC 19707
279,gn:T00282,pha; Pseudoalteromonas translucida TAC125 (Pseudoalteromonas haloplanktis TAC125)
280,gn:T00283,pfo; Pseudomonas fluorescens Pf0-1
281,gn:T00284,rsp; Cereibacter sphaeroides 2.4.1 (Rhodobacter sphaeroides 2.4.1)
282,gn:T00285,pca; Pelobacter carbinolicus DSM 2380
283,gn:T00286,bur; Burkholderia lata 383 (Burkholderia sp. 383)
284,gn:T00287,chy; Carboxydothermus hydrogenoformans Z-2901
285,gn:T00288,xcv; Xanthomonas campestris pv. vesicatoria 85-10
286,gn:T00289,bpm; Burkholderia pseudomallei 1710b
287,gn:T00290,cch; Chlorobium chlorochromatii CaD3
288,gn:T00291,plt; Chlorobium luteolum DSM 273
289,gn:T00292,syd; Synechococcus sp. CC9605
290,gn:T00293,sye; Synechococcus sp. CC9902
291,gn:T00294,dde; Oleidesulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20)
292,gn:T00295,gme; Geobacter metallireducens GS-15
293,gn:T00296,tcx; Hydrogenovibrio crunogenus XCL-2 (Thiomicrospira crunogena XCL-2)
294,gn:T00297,pmi; Prochlorococcus marinus MIT 9312
295,gn:T00298,tdn; Sulfurimonas denitrificans DSM 1251
296,gn:T00299,lsa; Latilactobacillus sakei subsp. sakei 23K (Lactobacillus sakei 23K)
297,gn:T00300,syf; Synechococcus elongatus PCC 7942
298,gn:T00301,sbo; Shigella boydii Sb227 (serotype 4)
299,gn:T00302,nmu; Nitrosospira multiformis ATCC 25196
300,gn:T00303,"sab; Staphylococcus aureus RF122/ET3-1, bovine mastitis-causing"
301,gn:T00304,bmf; Brucella abortus 2308 (Brucella melitensis biovar Abortus 2308)
302,gn:T00305,mag; Magnetospirillum magneticum AMB-1
303,gn:T00306,sdy; Shigella dysenteriae Sd197
304,gn:T00307,hch; Hahella chejuensis KCTC 2396
305,gn:T00308,mta; Moorella thermoacetica ATCC 39073
306,gn:T00309,mcp; Mycoplasma capricolum subsp. capricolum ATCC 27343
307,gn:T00310,rru; Rhodospirillum rubrum ATCC 11170
308,gn:T00311,bte; Burkholderia thailandensis E264
309,gn:T00312,sru; Salinibacter ruber DSM 13855
310,gn:T00313,mst; Methanosphaera stadtmanae DSM 3091
311,gn:T00314,ayw; Aster yellows witches'-broom phytoplasma AYWB
312,gn:T00315,eli; Erythrobacter litoralis HTCC2594
313,gn:T00316,"sgl; Sodalis glossinidius morsitans, endosymbiont of Glossina spp. (tsetse flies)"
314,gn:T00317,"ret; Rhizobium etli CFN 42, endosymbiont of common bean"
315,gn:T00318,cya; Synechococcus sp. JA-3-3Ab (Cyanobacteria bacterium Yellowstone A-Prime)
316,gn:T00319,cyb; Synechococcus sp. JA-2-3B'a(2-13) (Cyanobacteria bacterium Yellowstone B-Prime)
317,gn:T00320,fra; Frankia casuarinae CcI3
318,gn:T00321,rpb; Rhodopseudomonas palustris HaA2
319,gn:T00322,nar; Novosphingobium aromaticivorans DSM 12444
320,gn:T00323,"saa; Staphylococcus aureus subsp. aureus USA300_FPR3757, community-acquired methicillin-resistant"
321,gn:T00324,sao; Staphylococcus aureus subsp. aureus NCTC 8325
322,gn:T00325,mhu; Methanospirillum hungatei JF-1
323,gn:T00326,ade; Anaeromyxobacter dehalogenans 2CP-C
324,gn:T00327,aph; Anaplasma phagocytophilum HZ
325,gn:T00328,ech; Ehrlichia chaffeensis Arkansas
326,gn:T00329,nse; Neorickettsia sennetsu Miyayama
327,gn:T00330,jan; Jannaschia sp. CCS1
328,gn:T00331,ftl; Francisella tularensis subsp. holarctica LVS (Live Vaccine Strain)
329,gn:T00332,cfe; Chlamydia felis Fe/C-56 (Chlamydophila felis Fe/C-56)
330,gn:T00333,dsy; Desulfitobacterium hafniense Y51
331,gn:T00334,rfr; Rhodoferax ferrireducens T118 (DSM 15236)
332,gn:T00335,sde; Saccharophagus degradans 2-40
333,gn:T00336,rpc; Rhodopseudomonas palustris BisB18
334,gn:T00337,lsl; Lactobacillus salivarius UCC118
335,gn:T00338,eci; Escherichia coli O18:K1:H7 UTI89 (UPEC)
336,gn:T00339,rbe; Rickettsia bellii RML369-C
337,gn:T00340,bxe; Paraburkholderia xenovorans LB400 (Burkholderia xenovorans LB400)
338,gn:T00341,mbu; Methanococcoides burtonii DSM 6242
339,gn:T00342,mfa; Methylobacillus flagellatus KT
340,gn:T00343,pol; Polaromonas sp. JS666
341,gn:T00344,sdn; Shewanella denitrificans OS217
342,gn:T00345,rpd; Rhodopseudomonas palustris BisB5
343,gn:T00346,sat; Syntrophus aciditrophicus SB
344,gn:T00347,csa; Chromohalobacter salexigens DSM 3043
345,gn:T00348,nha; Nitrobacter hamburgensis X14
346,gn:T00349,"bci; Baumannia cicadellinicola Hc, endosymbiont of Homalodisca coagulata (glassy-winged sharpshooter)"
347,gn:T00350,pcr; Psychrobacter cryohalolentis K5
348,gn:T00351,rme; Cupriavidus metallidurans CH34
349,gn:T00352,aba; Candidatus Koribacter versatilis Ellin345
350,gn:T00353,dge; Deinococcus geothermalis DSM 11300
351,gn:T00354,lip; Lawsonia intracellularis PHE/MN1-00
352,gn:T00355,sph; Streptococcus pyogenes MGAS10270 (serotype M2)
353,gn:T00356,spi; Streptococcus pyogenes MGAS10750 (serotype M4)
354,gn:T00357,spj; Streptococcus pyogenes MGAS2096 (serotype M12)
355,gn:T00358,spk; Streptococcus pyogenes MGAS9429 (serotype M12)
356,gn:T00359,sit; Ruegeria sp. TM1040
357,gn:T00360,xom; Xanthomonas oryzae pv. oryzae MAFF 311018
358,gn:T00361,sal; Sphingopyxis alaskensis RB2256
359,gn:T00362,pen; Pseudomonas entomophila L48
360,gn:T00363,bcn; Burkholderia cenocepacia AU 1054
361,gn:T00364,ldb; Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842
362,gn:T00365,hpa; Helicobacter pylori HPAG1
363,gn:T00366,mxa; Myxococcus xanthus DK 1622
364,gn:T00367,mmc; Mycobacterium sp. MCS
365,gn:T00368,rxy; Rubrobacter xylanophilus DSM 9941
366,gn:T00369,ypa; Yersinia pestis Antiqua (biovar Antiqua)
367,gn:T00370,ypn; Yersinia pestis Nepal516 (biovar Antiqua)
368,gn:T00371,hac; Helicobacter acinonychis Sheeba
369,gn:T00372,pat; Pseudoalteromonas atlantica T6c
370,gn:T00373,ecp; Escherichia coli O6:K15:H31 536 (UPEC)
371,gn:T00374,mes; Chelativorans sp. BNC1
372,gn:T00375,hwa; Haloquadratum walsbyi DSM 16790 (HBSQ001)
373,gn:T00376,rde; Roseobacter denitrificans OCh 114
374,gn:T00377,sfv; Shigella flexneri 8401 (serotype 5b)
375,gn:T00378,cpf; Clostridium perfringens ATCC 13124
376,gn:T00379,cpr; Clostridium perfringens SM101
377,gn:T00380,abo; Alcanivorax borkumensis SK2
378,gn:T00381,ftf; Francisella tularensis subsp. tularensis FSC198
379,gn:T00382,rha; Rhodococcus jostii RHA1
380,gn:T00383,baf; Borrelia afzelii PKo (FLI)
381,gn:T00384,"fal; Frankia alni ACN14a, endosymbiont of Alnus viridis"
382,gn:T00385,chu; Cytophaga hutchinsonii ATCC 33406
383,gn:T00386,hso; Histophilus somni 129PT (Haemophilus somnus 129PT)
384,gn:T00387,ter; Trichodesmium erythraeum IMS101
385,gn:T00388,she; Shewanella sp. MR-4
386,gn:T00389,shm; Shewanella sp. MR-7
387,gn:T00390,syg; Synechococcus sp. CC9311
388,gn:T00391,aeh; Alkalilimnicola ehrlichii MLHE-1
389,gn:T00392,gbe; Granulibacter bethesdensis CGDNIH1
390,gn:T00393,net; Nitrosomonas eutropha C91
391,gn:T00394,mmr; Maricaulis maris MCS10
392,gn:T00395,sfr; Shewanella frigidimarina NCIMB 400
393,gn:T00396,swo; Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
394,gn:T00397,hne; Hyphomonas neptunium ATCC 15444
395,gn:T00398,bam; Burkholderia ambifaria AMMD
396,gn:T00399,fth; Francisella tularensis subsp. holarctica OSU18
397,gn:T00400,rpe; Rhodopseudomonas palustris BisA53
398,gn:T00401,pau; Pseudomonas aeruginosa UCBPP-PA14
399,gn:T00402,rle; Rhizobium leguminosarum bv. viciae 3841
400,gn:T00403,"crp; Candidatus Carsonella ruddii PV, endosymbiont of Pachypsylla venusta (hackberry petiole gall psyllid)"
