,KeggID,Description
61,ds:H00062,Spinal and bulbar muscular atrophy (SBMA); Kennedy disease
62,ds:H00063,Spinocerebellar ataxia (SCA)
63,ds:H00064,Ataxia telangiectasia; Louis-Bar syndrome; Boder-Sedgwick syndrome
64,ds:H00065,Alexander disease
65,ds:H00066,Lewy body dementia (LBD); Dementia with Lewy bodies (DLB)
66,ds:H00067,Friedreich ataxia
67,ds:H00068,Leber hereditary optic atrophy; Leber optic atrophy
68,ds:H00069,Glycogen storage disease
69,ds:H00070,Galactosemia
70,ds:H00071,Hereditary fructose intolerance; Fructosemia
71,ds:H00072,Pyruvate dehydrogenase complex deficiency
72,ds:H00073,Pyruvate carboxylase deficiency
73,ds:H00074,Canavan disease
74,ds:H00075,Refsum disease; Heredopathia atactica polyneuritiformis
75,ds:H00076,Cockayne syndrome
76,ds:H00077,Progressive supranuclear palsy; Steele-Richardson-Olszewski syndrome
77,ds:H00078,Frontotemporal lobar degeneration
78,ds:H00079,Asthma
79,ds:H00080,Systemic lupus erythematosus
80,ds:H00081,Hashimoto thyroiditis
81,ds:H00082,Graves disease
82,ds:H00083,Allograft rejection
83,ds:H00084,Graft-versus-host disease
84,ds:H00085,Agammaglobulinemias
85,ds:H00086,"Hyper IgM syndromes, autosomal recessive type"
86,ds:H00087,Other humoral immunodeficiencies
87,ds:H00088,Common variable immunodeficiency
88,ds:H00089,IFN-gamma/IL-12 axis; Mendelian susceptibility to mycobacterial disease (MSMD)
89,ds:H00090,NK cell defects
90,ds:H00091,T-B+Severe combined immunodeficiency
91,ds:H00092,T-B-Severe combined immunodeficiency
92,ds:H00093,Combined immunodeficiency
93,ds:H00094,Immunodeficiency associated with DNA repair defects
94,ds:H00095,Ectodermal dysplasia associated immunodeficiency
95,ds:H00096,Defects of toll-like receptor signaling
96,ds:H00097,Chemokine receptor defect
97,ds:H00098,Chronic granulomatous disease
98,ds:H00099,Leukocyte adhesion deficiency
99,ds:H00100,Neutropenic disorders
100,ds:H00101,Other phagocyte defects
101,ds:H00102,Classic complement pathway component defects
102,ds:H00103,Late complement pathway defects
103,ds:H00104,Alternative complement pathway component defects
104,ds:H00105,"Mannose-binding lectin pathway component defects; Lectin complement activation pathway, defect in (LCAPD)"
105,ds:H00106,Complement regulatory protein defects
106,ds:H00107,Other well-defined immunodeficiency syndromes
107,ds:H00108,Autoimmune lymphoproliferative syndromes
108,ds:H00109,Familial hemophagocytic lymphohistiocytosis
109,ds:H00110,Cholera
110,ds:H00111,Typhoid fever
111,ds:H00112,Paratyphoid fever
112,ds:H00113,Salmonellosis
113,ds:H00114,"Fructose-1,6-bisphosphatase deficiency"
114,ds:H00115,Congenital sucrase-isomaltase deficiency; Disaccharide intolerance I
115,ds:H00116,Congenital lactase deficiency; Disaccharide intolerance II
116,ds:H00117,Primary hyperoxaluria
117,ds:H00118,Congenital disorders of glycosylation type I
118,ds:H00119,Congenital disorders of glycosylation type II
119,ds:H00120,Muscular dystrophy-dystroglycanopathy type A
120,ds:H00122,Multiple exostoses
121,ds:H00123,Mucopolysaccharidosis type IV
122,ds:H00124,GM2 gangliosidoses
123,ds:H00125,Fabry disease; Anderson-Fabry disease
124,ds:H00126,Gaucher disease
125,ds:H00127,Metachromatic leukodystrophy
126,ds:H00128,Mucopolysaccharidosis type I; Hurler-Scheie syndrome; Hurler syndrome; Scheie syndrome
127,ds:H00129,Mucopolysaccharidosis type II; Hunter syndrome
128,ds:H00130,Mucopolysaccharidosis type III
129,ds:H00131,Mucopolysaccharidosis type VI; Maroteaux-Lamy syndrome
130,ds:H00132,Mucopolysaccharidosis type VII; Sly syndrome
131,ds:H00133,Mucopolysaccharidosis type IX; Hyaluronidase deficiency
132,ds:H00134,X-linked ichthyosis
133,ds:H00135,Krabbe disease; Globoid cell leukodystrophy
134,ds:H00136,Niemann-Pick disease type C
135,ds:H00137,Niemann-Pick disease type A/B
136,ds:H00138,Farber lipogranulomatosis; Farber disease
137,ds:H00139,alpha-Mannosidosis
138,ds:H00140,beta-Mannosidosis
139,ds:H00141,Fucosidosis
140,ds:H00142,Sialidosis; Mucolipidosis I
141,ds:H00143,Mucolipidosis II; I-cell disease
142,ds:H00144,Mucolipidosis IV
143,ds:H00145,Aspartylglucosaminuria
144,ds:H00146,Alpha-N-acetylgalactosaminidase deficiency
145,ds:H00147,Sialuria
146,ds:H00148,Lysosomal acid lipase deficiency
147,ds:H00149,Neuronal ceroid lipofuscinosis
148,ds:H00150,Danon disease; X-linked vacuolar cardiomyopathy and myopathy
149,ds:H00151,Cerebrotendinous xanthomatosis; Van Bogaert-Scherer-Epstein Disease
150,ds:H00152,Sitosterolemia
151,ds:H00153,Familial combined hyperlipidemia
152,ds:H00154,"Hyperlipoproteinemia, type I"
153,ds:H00155,Familial hypercholesterolemia; Autosomal dominant hypercholesterolaemia
154,ds:H00156,"Hyperlipoproteinemia, type III; Dysbetalipoproteinemia"
155,ds:H00157,"Hyperlipoproteinemia, type V"
156,ds:H00158,Lecithin:cholesterol acyltransferase deficiency; Norum disease; Fish-eye disease
157,ds:H00159,Tangier disease
158,ds:H00160,Abetalipoproteinemia; Bassen-Kornzweig Disease
159,ds:H00161,Smith-Lemli-Opitz syndrome
160,ds:H00162,Sjogren-Larsson syndrome
161,ds:H00163,Alkaptonuria
162,ds:H00164,Carbamoyl phosphate synthetase I deficiency
163,ds:H00165,Tyrosinemia
164,ds:H00166,Hermansky-Pudlak syndrome
165,ds:H00167,"Phenylketonuria; Hyperphenylalaninemia, BH4-deficient"
166,ds:H00168,Oculocutaneous albinism
167,ds:H00169,Ocular albinism; Ocular albinism type I (OA1); Waardenburg syndrome type II (WS2-OA)
168,ds:H00170,Piebaldism
169,ds:H00171,Histidinemia
170,ds:H00172,Maple syrup urine disease
171,ds:H00173,Isovaleric acidemia
172,ds:H00174,Methylmalonic aciduria; Methylmalonic acidemia
173,ds:H00175,Propionic acidemia
174,ds:H00176,Adrenoleukodystrophy
175,ds:H00177,Neonatal adrenoleukodystrophy
176,ds:H00178,Glutaric acidemia
177,ds:H00179,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
178,ds:H00180,Holocarboxylase synthetase deficiency; Multiple carboxylase deficiency
179,ds:H00181,3-Methylcrotonylglycinuria; 3-Methylcrotonyl-CoA carboxylase deficiency
180,ds:H00182,Cystathioninuria
181,ds:H00183,Homocystinuria
182,ds:H00184,Hypermethioninemia
183,ds:H00185,Citrullinemia; Argininosuccinate synthase deficiency
184,ds:H00186,Hyperargininemia
185,ds:H00187,Ornithine transcarbamylase deficiency
186,ds:H00188,Hyperlysinemia
187,ds:H00189,Ornithinaemia; Gyrate Atrophy
188,ds:H00190,Hyperprolinemia
189,ds:H00191,Nonketotic hyperglycinemia; Glycine encephalopathy (GCE)
190,ds:H00192,Xanthinuria
191,ds:H00193,Dihydropyrimidine dehydrogenase deficiency
192,ds:H00194,Lesch-Nyhan syndrome; Hypoxanthine-guanine phosophoribosyltransferase deficiency
193,ds:H00195,"Adenine phosphoribosyltransferase deficiency; 2,8-Dihydroxyadenine urolithiasis"
194,ds:H00196,Phosphoribosylpyrophosphate synthetase superactivity
195,ds:H00197,Adenylosuccinate lyase deficiency
196,ds:H00198,Orotic aciduria
197,ds:H00199,Dihydropyrimidinase deficiency; Dihydropyrimidinuria
198,ds:H00200,Beta-ureidopropionase deficiency
199,ds:H00201,Erythropoietic porphyria
200,ds:H00202,Hepatic porphyria
201,ds:H00203,Acatalasemia; Takahara disease
202,ds:H00204,Heimler syndrome
203,ds:H00205,Peroxisome biogenesis disorder
204,ds:H00206,Mevalonate kinase deficiency
205,ds:H00207,Rhizomelic chondrodysplasia punctata
206,ds:H00208,Hyperbilirubinemia
207,ds:H00209,Menkes syndrome
208,ds:H00210,Wilson disease; Hepatolenticular degeneration
209,ds:H00211,Hemochromatosis
210,ds:H00212,Acrodermatitis enteropathica
211,ds:H00213,Hypophosphatasia
212,ds:H00214,Hypophosphatemic rickets
213,ds:H00215,Periodic paralysis
214,ds:H00216,Congenital adrenal hyperplasia
215,ds:H00217,Pulmonary alveolar proteinosis
216,ds:H00218,Cystic fibrosis
217,ds:H00219,Hemophilia
218,ds:H00220,Factor V deficiency; Owren disease
219,ds:H00221,Combined deficiency of factors V and VIII
220,ds:H00222,Afibrinogenemia; Dysfibrinogenemia
221,ds:H00223,Inherited thrombophilia
222,ds:H00224,Bernard-Soulier syndrome; Giant platelet syndrome
223,ds:H00225,Thrombotic thrombocytopenic purpura; Moschcowitz disease; Schulman-Upshaw syndrome
224,ds:H00226,Glanzmann thrombasthenia
225,ds:H00227,Congenital amegakaryocytic thrombocytopenia
226,ds:H00228,Thalassemia
227,ds:H00229,Sickle cell anemia
228,ds:H00230,Hereditary spherocytosis
229,ds:H00231,Hereditary elliptocytosis
230,ds:H00232,Hereditary stomatocytosis
231,ds:H00233,MYH9-related disease; Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss (MATINS)
232,ds:H00234,Pelger-Huet anomaly
233,ds:H00235,Methemoglobinemia
234,ds:H00236,Congenital polycythemia; Familial erythrocytosis (ECYT)
235,ds:H00237,Diamond-Blackfan anemia
236,ds:H00238,Fanconi anemia
237,ds:H00239,Bartter syndrome
238,ds:H00240,Gitelman syndrome
239,ds:H00241,Combined proximal and distal renal tubular acidosis
240,ds:H00242,Liddle syndrome
241,ds:H00243,Hyperkalemic distal renal tubular acidosis (RTA type 4)
242,ds:H00244,Pseudohypoparathyroidism
243,ds:H00245,Calcium sensing receptor (CASR) related disease
244,ds:H00246,Primary hyperparathyroidism; Familial hyperparathyroidism
245,ds:H00247,Multiple endocrine neoplasia syndrome; Wermer syndrome; Sipple syndrome
246,ds:H00249,Thyroid hormone resistance syndrome
247,ds:H00250,Congenital nongoitrous hypothyroidism (CHNG)
248,ds:H00251,Thyroid dyshormonogenesis; Dyshormogenetic goiter
249,ds:H00252,Congenital nephrogenic diabetes insipidus
250,ds:H00253,Neurohypophyseal diabetes insipidus (NPDI); Central Diabetes Insipidus
251,ds:H00254,Growth hormone deficiency; Pituitary dwarfism
252,ds:H00255,Hypogonadotropic hypogonadism
253,ds:H00256,Familial glucocorticoid deficiency
254,ds:H00257,Achalasia Addisonianism Alacrima syndrome; Triple A syndrome; Allogrove syndrome
255,ds:H00258,Aldosterone synthase deficiency; Corticosterone methyloxidase type I deficiency; Corticosterone methyloxidase type II deficiency
256,ds:H00259,Apparent mineralocorticoid excess syndrome; 11-beta-ketoreductase deficiency
257,ds:H00260,Pigmented micronodular adrenocortical disease
258,ds:H00261,Meckel syndrome; Meckel-Gruber syndrome
259,ds:H00262,Spina bifida; Myelomeningocele; Myeloschisis
260,ds:H00263,Acrocallosal syndrome
261,ds:H00264,Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy
262,ds:H00265,Hereditary sensory and autonomic neuropathy
263,ds:H00266,Hereditary spastic paraplegia
264,ds:H00267,Holoprosencephaly
265,ds:H00268,Lissencephaly
266,ds:H00269,Primary microcephaly
267,ds:H00270,Periventricular nodular heterotopia
268,ds:H00271,Polymicrogyria
269,ds:H00272,Multiple sulfatase deficiency
270,ds:H00273,Pycnodysostosis
271,ds:H00274,Papillon-Lefevre syndrome
272,ds:H00275,Cystinosis
273,ds:H00276,Galactosialidosis; Neuraminidase deficiency with beta-galactosidase deficiency
274,ds:H00277,Enterohemorrhagic Escherichia coli (EHEC) infection
275,ds:H00278,Enteropathogenic Escherichia coli (EPEC) infection
276,ds:H00279,Uropathogenic Escherichia coli (UPEC) infection
277,ds:H00280,Enterotoxigenic Escherichia coli (ETEC) infection
278,ds:H00281,GM1 gangliosidosis
279,ds:H00282,Cryopyrin associated periodic syndrome
280,ds:H00283,Ebola disease; Ebola hemorrhagic fever
281,ds:H00284,Crimean-Congo hemorrhagic fever
282,ds:H00285,Blau syndrome
283,ds:H00286,Crohn disease
284,ds:H00287,"Pyogenic sterile arthritis, pyoderma gangrenosum, and acne syndrome"
285,ds:H00288,Familial Mediterranean fever; Familial hereditary periodic fever syndromes
286,ds:H00289,Recurrent hydatidiform moles; Familial biparental hydatidiform
287,ds:H00290,Aicardi-Goutieres syndrome
288,ds:H00291,Familial chilblain lupus (FCL); Chilblain lupus erythematosus (CHLE)
289,ds:H00292,Hypertrophic cardiomyopathy
290,ds:H00293,Arrhythmogenic right ventricular cardiomyopathy
291,ds:H00294,Dilated cardiomyopathy
292,ds:H00295,Viral myocarditis
293,ds:H00296,Defects in RecQ helicases
294,ds:H00297,Plague
295,ds:H00298,Yersiniosis
296,ds:H00299,Shigellosis; Bacillary dysentery
297,ds:H00300,Enterobacter infection
298,ds:H00301,Klebsiella infection
299,ds:H00302,Citrobacter infection
300,ds:H00303,Serratia infection
301,ds:H00304,Haemophilus influenzae infection
302,ds:H00305,Chancroid
303,ds:H00306,Pasteurellosis
304,ds:H00307,Vibrio parahaemolyticus infection
305,ds:H00308,Vibrio vulnificus infection
306,ds:H00309,Multidrug-resistant Acinetobacter infection
307,ds:H00310,Q fever
308,ds:H00311,Legionellosis; Legionnaires disease
309,ds:H00312,Tularemia
310,ds:H00313,Multidrug-resistant Pseudomonas aeruginosa infection
311,ds:H00314,Meningococcal infection
312,ds:H00315,Gonococcal infection; Gonorrhea
313,ds:H00316,Glanders
314,ds:H00317,Melioidosis
315,ds:H00319,Pertussis; Whooping cough
316,ds:H00320,Helicobacter pylori infection
317,ds:H00321,Campylobacter infection; Campylobacteriosis
318,ds:H00322,Epidemic typhus
319,ds:H00323,Spotted fever; Tick-borne rickettsioses
320,ds:H00324,Scrub typhus
321,ds:H00325,Brucellosis
322,ds:H00326,Bartonellosis
323,ds:H00327,Trench fever
324,ds:H00328,Anthrax
325,ds:H00329,Foodborne Bacillus cereus intoxication
326,ds:H00330,Methicillin-resistant Staphylococcal aureus (MRSA) infection
327,ds:H00331,Vancomycin-resistant Staphylococcal aureus (VRSA) infection
328,ds:H00332,Listeriosis
329,ds:H00333,Streptococcal infection
330,ds:H00334,Bacterial endocarditis; Infective endocarditis
331,ds:H00335,Foodborne Clostridium perfringens intoxication
332,ds:H00336,Gas gangrene; Clostridial myonecrosis
333,ds:H00337,Tetanus
334,ds:H00338,Pseudomembranous colitis
335,ds:H00339,Botulism
336,ds:H00340,Vancomycin-resistant enterococci infection
337,ds:H00341,Mycoplasma pneumonia
338,ds:H00342,Tuberculosis
339,ds:H00343,Diphtheria
340,ds:H00344,Leprosy; Hansen disease
341,ds:H00345,Nocardiosis
342,ds:H00346,Extrinsic allergic alveolitis; Hypersensitivity pneumonitis
343,ds:H00347,Chlamydia infection
344,ds:H00348,Lymphogranuloma venereum
345,ds:H00349,Trachoma
346,ds:H00350,Psittacosis; Parrot fever
347,ds:H00351,Chlamydial pneumonia
348,ds:H00352,Whipple disease
349,ds:H00353,Lyme borreliosis; Lyme disease
350,ds:H00354,Syphilis
351,ds:H00355,Leptospirosis; Weil disease
352,ds:H00356,Cryptosporidiosis
353,ds:H00357,African trypanosomiasis; Sleeping sickness
354,ds:H00358,Chagas disease; American trypanosomiasis
355,ds:H00359,Leishmaniasis
356,ds:H00360,Amoebiasis
357,ds:H00361,Malaria
358,ds:H00362,Giardiasis; Lambliasis
359,ds:H00363,Candidiasis
360,ds:H00364,Cryptococcosis
361,ds:H00365,Herpes simplex virus infection; HSV infection
362,ds:H00366,Varicella; Chickenpox; Herpes zoster; Shingles
363,ds:H00367,Infectious mononucleosis; Epstein-Barr virus (EBV) infection
364,ds:H00368,Cytomegalovirus infection; CMV infection
365,ds:H00369,Exanthema subitum; Roseolovirus infection; Roseola; Pityriasis rosea
366,ds:H00370,Progressive multifocal leukoencephalopathy
367,ds:H00371,Adenovirus infection
368,ds:H00372,Smallpox; Variola
369,ds:H00373,Monkeypox
370,ds:H00374,Viral wart
371,ds:H00375,SBCAD deficiency; Short-branched-chain acyl-CoA dehydrogenase deficiency
372,ds:H00376,Acute poliomyelitis; Polio
373,ds:H00377,Rabies
374,ds:H00378,Lyssavirus infection; Rabies-related virus infection
375,ds:H00379,Mosquito-borne viral encephalitis
376,ds:H00380,Tick-borne viral encephalitis
377,ds:H00381,Dengue
378,ds:H00382,Mosquito-borne viral fever
379,ds:H00383,Arthropod-borne viral fever
380,ds:H00384,Yellow fever
381,ds:H00385,South American hemorrhagic fever
382,ds:H00386,Lassa fever
383,ds:H00387,B virus infection
384,ds:H00388,Non-chlamydial non-gonococcal urethritis
385,ds:H00389,Hemorrhagic fever with renal syndrome
386,ds:H00390,Hantavirus pulmonary syndrome
387,ds:H00391,Henipavirus infection
388,ds:H00392,VLCAD deficiency; Very long-chain acyl-CoA dehydrogenase deficiency
389,ds:H00393,Enterovirus infection; Non-polio enterovirus infection
390,ds:H00394,Measles
391,ds:H00395,Rubella
392,ds:H00396,Mumps
393,ds:H00397,Ross River fever
394,ds:H00398,Influenza
395,ds:H00399,Avian influenza; Bird flu; H5N1 flu
396,ds:H00400,Parainfluenza infection
397,ds:H00401,Respiratory syncytial virus infection; RSV infection
398,ds:H00402,Severe acute respiratory syndrome; SARS
399,ds:H00403,Disorders of nucleotide excision repair
400,ds:H00404,Erythema infectiosum; Fifth disease
401,ds:H00405,Marburg disease; Marburg hemorrhagic fever
402,ds:H00406,Acquired immunodeficiency syndrome (AIDS)
403,ds:H00407,Peroxisomal beta-oxidation enzyme deficiency
404,ds:H00408,Type 1 diabetes mellitus
405,ds:H00409,Type 2 diabetes mellitus
406,ds:H00410,Maturity onset diabetes of the young (MODY)
407,ds:H00411,Hepatitis A; Hepatitis A virus (HAV) infection
408,ds:H00412,Hepatitis B; Hepatitis B virus (HBV) infection
409,ds:H00413,Hepatitis C; Hepatitis C virus (HCV) infection
410,ds:H00414,Hepatitis D; Hepatitis D virus (HDV) infection; Hepatitis delta virus infection
411,ds:H00415,Hepatitis E; Hepatitis E virus (HEV) infection
412,ds:H00416,Omsk hemorrhagic fever
413,ds:H00417,Alstrom syndrome
414,ds:H00418,Bardet-Biedl syndrome
415,ds:H00419,Congenital generalized lipodystrophy
416,ds:H00420,Familial partial lipodystrophy
417,ds:H00421,Mucopolysaccharidosis
418,ds:H00422,Glycoproteinoses
419,ds:H00423,Sphingolipidosis
420,ds:H00424,Defects in the degradation of sphingomyelin
421,ds:H00425,Lysosomal cysteine protease deficiencies
422,ds:H00426,Gangliosidosis
423,ds:H00427,Relapsing fever
424,ds:H00428,Distal renal tubular acidosis (RTA type 1)
425,ds:H00429,Proximal renal tubular acidosis (RTA type 2)
426,ds:H00430,Fibrodysplasia ossificans progressiva
427,ds:H00431,Ossification of the posterior longitudinal ligament of spine
428,ds:H00432,Hereditary dentine disorders
429,ds:H00433,Holt-Oram syndrome
430,ds:H00434,Camurati-Engelmann disease; Progressive diaphyseal dysplasia
431,ds:H00435,Toxoplasmosis
432,ds:H00436,Osteopetrosis
433,ds:H00437,Paget disease of bone
434,ds:H00438,Nasu-Hakola disease; Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy
435,ds:H00439,Shwachman-Diamond syndrome
436,ds:H00440,Rett syndrome
437,ds:H00441,Progressive osseous heteroplasia
438,ds:H00442,Campomelic dysplasia
439,ds:H00443,Osteoglophonic dysplasia; Osteoglophonic dwarfism
440,ds:H00444,Osteopathia striata with cranial sclerosis
441,ds:H00445,Osteoarthritis with mild chondrodysplasia
442,ds:H00446,Craniofacial-deafness-hand syndrome
443,ds:H00447,HEM skeletal dysplasia; Greenberg dysplasia
444,ds:H00448,"Familial osteochondritis dissecans; Osteochondritis dissecans, short stature, and early-onset osteoarthritis"
445,ds:H00449,Oculodentodigital dysplasia
446,ds:H00450,Worth type autosomal dominant osteosclerosis; Endosteal hyperostosis
447,ds:H00451,Osteoporosis-pseudoglioma syndrome
448,ds:H00452,Buschke-Ollendorff syndrome; Osteopoikilosis
449,ds:H00453,Branchio-oto-renal syndrome; BOR syndrome
450,ds:H00454,Oral-facial-digital syndrome
451,ds:H00455,Spinal muscular atrophy
452,ds:H00456,Fronto-otopalatodigital syndromes
453,ds:H00457,Primary hypertrophic osteoarthropathy
454,ds:H00458,Syndromic craniosynostoses
455,ds:H00459,Synpolydactyly
456,ds:H00460,Hand-foot-genital syndrome
457,ds:H00461,Ischiocoxopodopatellar syndrome; Coxopodopatellar syndrome; Small patella syndrome; Scott-Taor syndrome
458,ds:H00462,Stuve-Wiedemann syndrome
459,ds:H00463,Currarino syndrome
460,ds:H00464,Nail-patella syndrome
461,ds:H00465,Fragile X syndrome
462,ds:H00466,Grebe dysplasia; Acromesomelic dysplasia Hunter-Thompson type
463,ds:H00467,Fibular hypoplasia and complex brachydactyly; Du Pan syndrome
464,ds:H00468,"Acromesomelic dysplasia, Demirhan type; Acromesomelic dysplasia with genital anomalies"
465,ds:H00469,Mitochondrial DNA depletion syndrome
466,ds:H00470,"Acromesomelic dysplasia, Maroteaux type"
467,ds:H00471,Split-hand/foot malformation
468,ds:H00472,"Torg syndrome; Torg-Winchester syndrome; Multicentric osteolysis, nodulosis, and arthropathy"
469,ds:H00473,Mitochondrial complex I deficiency
470,ds:H00474,Schneckenbecken dysplasia
471,ds:H00475,Enlarged parietal foramina/cranium bifidum
472,ds:H00476,Multiple epiphyseal dysplasia
473,ds:H00477,Pseudoachondroplasia
474,ds:H00478,Prader-Willi syndrome
475,ds:H00479,Metaphyseal dysplasias
476,ds:H00480,X-linked mental retardation
477,ds:H00481,Cone-rod dystrophy and cone dystrophy
478,ds:H00482,Brachydactyly
479,ds:H00483,Angel shaped phalangoepiphyseal dysplasia
480,ds:H00484,Multiple synostosis syndrome
481,ds:H00485,Robinow syndrome
482,ds:H00486,Sclerosteosis
483,ds:H00487,Tricho-dento-osseous syndrome
484,ds:H00488,MCAD deficiency; Medium-chain acyl-CoA dehydrogenase deficiency; ACADM deficiency
485,ds:H00489,LCHAD deficiency; Long-chain 3-hydroxyacyl CoA dehydrogenase deficiency
486,ds:H00490,Diaphyseal dysplasia with anemia; Ghosal hematodiaphyseal dysplasia
487,ds:H00491,Craniometaphyseal dysplasia
488,ds:H00492,SHOX-related short stature
489,ds:H00493,Heparan sulfate proteoglycan gene defects
490,ds:H00494,Desbuquois syndrome; Desbuquois dysplasia (DBQD)
491,ds:H00495,Eiken dysplasia
492,ds:H00496,Congenital hemidysplasia with ichthyosiform nevus and limb defects (CHILD)
493,ds:H00497,Cherubism
494,ds:H00498,Gnathodiaphyseal dysplasia
495,ds:H00499,Spondylocarpotarsal synostosis syndrome
496,ds:H00500,Keutel syndrome
497,ds:H00501,"Fibrous dysplasia, polyostotic; Albright hereditary osteodystrophy"
498,ds:H00502,Pallister-Hall syndrome
499,ds:H00503,Ellis-van Creveld syndrome
500,ds:H00504,Rubinstein-Taybi syndrome
501,ds:H00505,FGFR3-related short limb skeletal dysplasia
502,ds:H00506,Osteogenesis imperfecta
503,ds:H00507,Dyskeratosis congenita
504,ds:H00508,Blomstrand syndrome; Blomstrand chondrodysplasia
505,ds:H00509,3M syndrome
506,ds:H00510,Feingold syndrome
507,ds:H00511,Short rib-polydactyly syndrome
508,ds:H00512,Permanent neonatal diabetes mellitus
509,ds:H00513,Transient neonatal diabetes mellitus
510,ds:H00514,Bruck syndrome
511,ds:H00515,Atelosteogenesis type II
512,ds:H00516,Cleft lip and/or cleft palate
513,ds:H00517,Spondylocostal dysostosis
514,ds:H00518,Metaphyseal dysplasia without hypotrichosis
515,ds:H00519,Spondyloepiphyseal dysplasia congenita
516,ds:H00520,Type II collagenopathies
517,ds:H00521,Cleidocranial dysplasia
518,ds:H00522,Brachyolmia
519,ds:H00523,Noonan syndrome and related disorders
520,ds:H00524,Scapuloperoneal spinal muscular atrophy
521,ds:H00525,Disorders of mitochondrial fatty-acid oxidation
522,ds:H00526,Camptodactyly-arthropathy-coxa vara-pericarditis syndrome; Jacobs syndrome
523,ds:H00527,Retinitis pigmentosa
524,ds:H00528,Frontonasal dysplasia
525,ds:H00529,Cranioectodermal dysplasia
526,ds:H00530,Joubert syndrome
527,ds:H00531,Venous malformations
528,ds:H00532,Parkes Weber syndrome
529,ds:H00533,Hereditary hemorrhagic telangiectasia; Osler disease
530,ds:H00534,Cerebral cavernous malformation
531,ds:H00535,Lymphatic malformation
532,ds:H00536,Cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy (CADASIL)
533,ds:H00537,Nephronophthisis
534,ds:H00538,Senior-Loken syndrome
535,ds:H00539,PTEN hamartoma tumor syndrome
536,ds:H00540,"Osteoporosis, lymphedema, anhydrotic ectodermal dysplasia with immunodeficiency (OLEDAID); Ectodermal dysplasia, anhidrotic, with immunodeficiency, osteopetrosis, and lymphedema"
537,ds:H00541,Autosomal dominant tubulointerstitial kidney disease
538,ds:H00542,Polycystic kidney disease
539,ds:H00543,Renal-hepatic-pancreatic dysplasia
540,ds:H00544,Septo-optic dysplasia
541,ds:H00545,Polycystic liver disease
542,ds:H00546,Atrial septal defect
543,ds:H00547,Atrioventricular septal defect; Atrioventricular canal defect
544,ds:H00548,Brunner syndrome; MAOA deficiency
