,KeggID,Description
54,dr:D00056,"Trypsin, crystallized (USP); Trypsin (JAN); Parenzyme (TN)"
55,dr:D00057,Citicoline (JP18/INN); Nicholin (TN)
56,dr:D00058,gamma-Aminobutyric acid (JAN); Gammalon (TN)
57,dr:D00059,Levodopa (JP18/USP/INN); Dopar (TN)
58,dr:D00060,Dextran 1 (USP); Dextran (INN)
59,dr:D00061,Xylitol (JP18/NF); Klinit (TN)
60,dr:D00062,Mannitol (USP); D-Mannitol (JP18); Osmitrol (TN); Tobrex (TN); Bronchitol (TN)
61,dr:D00063,Tobramycin (JP18/USP); Tobi (TN); Tobracin (TN); Tobrex (TN); Bethkis (TN)
62,dr:D00064,l-Menthol (JP18); Levomenthol; l-Menthol (TN)
63,dr:D00065,Isoleucine (USP); L-Isoleucine (JP18)
64,dr:D00066,Progesterone (JP18/USP/INN); Crinone (TN); Prometrium (TN)
65,dr:D00067,Estrone (JAN/USP/INN); Estrone (TN)
66,dr:D00068,Alcohol (USP); Anhydrous ethanol (JP18); Dehydrated ethanol; Ethyl alcohol; Dehydrated ethanol (TN)
67,dr:D00069,Vitamin A oil (JP18); Chocola A (TN)
68,dr:D00070,Folic acid (JP18/USP/INN); Folicet (TN)
69,dr:D00071,Fibronectin (human plasma) (JAN)
70,dr:D00072,Cytochrome c (JAN); Cytorest (TN)
71,dr:D00073,Hydroquinone (USP); Eldoquin (TN)
72,dr:D00074,Nitric oxide (JAN/USAN); INOmax (TN)
73,dr:D00075,Testosterone (JAN/USP); Androderm (TN); Androgel (TN); Axiron (TN); Striant (TN); Testim (TN)
74,dr:D00076,Noradrenaline (JP18); Norepinephrine (INN); Nor adrenalin (TN)
75,dr:D00077,Benzyl alcohol (JP18/NF/INN); Ulesfia (TN)
76,dr:D00078,Propylene glycol (JP18/USP); Propylene glycol (TN)
77,dr:D00079,Dinoprostone (JAN/USP/INN); Cervidil (TN); Prepidil (TN); Prostin E2 (TN)
78,dr:D00080,Chondroitin sulfate A (JAN)
79,dr:D00081,Dinoprost (JP18/USAN/INN); Prosmon (TN)
80,dr:D00082,Pyridoxamine phosphate (JAN); Pyridoxamine phosphate dihydrate
81,dr:D00083,Nitrogen (JP18/NF); Nitrogen (TN)
82,dr:D00084,Dextrin (JP18/NF)
83,dr:D00085,Insulin (JAN/USP)
84,dr:D00086,Thioctic acid (JAN); Thiotomin (TN)
85,dr:D00087,Ubenimex (JP18/INN); Bestatin (TN)
86,dr:D00088,Hydrocortisone (JP18/USP/INN); HC; Acticort (TN); Anusol HC (TN); Colocort (TN); Cortef (TN); Hytone (TN); Plenadren (TN)
87,dr:D00089,Oxytocin (JP18/USP/INN); Oxytocin (TN); Pitocin (TN); Syntocinon (TN)
88,dr:D00090,Thrombin (JP18/USP/INN); Factor IIa; Thrombostat (TN)
89,dr:D00091,Vanillin (NF)
90,dr:D00092,Coptis rhizome (JP18); Powdered coptis rhizome (JP18); Coptis rhizome (TN)
91,dr:D00093,"Microcrystalline cellulose (JP18); Cellulose, microcrystalline (NF); Powdered cellulose (JP18); Avicel PH (TN)"
92,dr:D00094,Tretinoin (JAN/USP/INN); Avita (TN); Renova (TN); Retin A (TN); Tretinoin (TN)
93,dr:D00095,Epinephrine (USP/INN); Adrenaline (JP18); Adrenalin (TN); Auvi-q (TN); Epipen (TN)
94,dr:D00096,Sorbitol solution (USP); D-Sorbitol (JP18); Sorbitol (NF); Sorbitol 3% in plastic container (TN)
95,dr:D00097,Salicylic acid (JP18/USP); Salicylic acid (TN)
96,dr:D00098,Camphor (USP); dl-Camphor (JP18)
97,dr:D00099,Cetanol (JP18); Cetyl alcohol (NF); Cetanol (TN)
98,dr:D00100,Menatetrenone (JP18/INN); Vitamin K2 (TN)
99,dr:D00101,Vasopressin (JP18/USP); Pitressin (TN); Vasostrict (TN)
100,dr:D00102,Nitrous oxide (JP18/USP); Nitrous oxide (TN)
101,dr:D00103,Tartaric acid (JP18/NF); Tartaric acid (TN)
102,dr:D00104,Chloramphenicol (JP18/USP/INN); Amphicol (TN); Chloromycetin (TN); Econochlor (TN)
103,dr:D00105,Estradiol (JAN/USP/INN); Climara (TN); Divigel (TN); Estrace (TN); Estraderm (TN); Estrasorb (TN); Estring (TN); Estrogel (TN); Innofem (TN); Vagifem (TN); Vivelle (TN)
104,dr:D00106,Epoprostenol (USAN/INN); Prostaglandin I2; Prostacyclin; Epoprostenol (TN)
105,dr:D00107,Tacrolimus (USP/INN); Tacrolimus hydrate (JP18); Prograf (TN); Protopic (TN)
106,dr:D00108,Iodine (JP18/USP); Cadex (TN)
107,dr:D00109,Aspirin (JP18/USP); Aspalon (JAN); Acetylsalicylic acid; Easprin (TN); Durlaza (TN)
108,dr:D00110,Cocaine (USP); Cocaine (TN)
109,dr:D00111,Lactic acid (JP18/USP); Lactate (TN)
110,dr:D00112,G-Strophanthin (JAN); Ouabain; Ouabain octahydrate
111,dr:D00113,Atropine (USP); Atropen (TN)
112,dr:D00114,Fructose (JP18/USP); D-Fructose; Fructon (TN)
113,dr:D00115,Gelatin (JP18/NF); Gelfilm (TN)
114,dr:D00116,Glucagon (genetical recombination) (JP18); Glucagon (JAN/USP/INN); Glucagon (TN)
115,dr:D00117,Guaiacol (JAN); Creodon (TN)
116,dr:D00118,Naproxen (JP18/USP/INN); Naprosyn (TN)
117,dr:D00119,Stearic acid (JP18/NF); Stearic acid (TN)
118,dr:D00120,Sulindac (JP18/USP/INN); Clinoril (TN)
119,dr:D00121,Allantoin (JAN/USP)
120,dr:D00122,Calcifediol (USP/INN); Calcifediol monohydrate; Calderol (TN); Rayaldee (TN)
121,dr:D00123,Cyanamide (JP18); Cyanamide (TN)
122,dr:D00124,Ephedrine (USP); Ephedrine (TN)
123,dr:D00125,Etoposide (JP18/USP/INN); Vepesid (TN)
124,dr:D00126,Ibuprofen (JP18/USP/INN); Advil (TN); Motrin (TN)
125,dr:D00127,Piroxicam (JP18/USP/INN); Feldene (TN)
126,dr:D00128,Bacitracin (JP18/USP/INN); Baciim (TN); Bacitracin (TN)
127,dr:D00129,Calcitriol (JAN/USP/INN); Rocaltrol (TN)
128,dr:D00130,Diflunisal (JAN/USP/INN); Dolobid (TN)
129,dr:D00131,Disulfiram (JP18/USP/INN); Antabuse (TN)
130,dr:D00132,Ketoprofen (JP18/USP/INN); Orudis (TN)
131,dr:D00133,Resorcinol (USP); Resorcin (JAN); Resorcin (TN)
132,dr:D00134,Albendazole (JAN/USP/INN); Albenza (TN)
133,dr:D00135,Capreomycin sulfate (JAN/USP); Capastat sulfate (TN)
134,dr:D00136,Haloperidol (JP18/USP/INN); Haldol (TN)
135,dr:D00137,Isopropyl alcohol (USP); Isopropanol (JP18); Isopro (TN)
136,dr:D00138,Scopolamine (INN); Transderm scop (TN)
137,dr:D00139,Methoxsalen (JP18/USP); Oxsoralen (TN); UVADEX (TN)
138,dr:D00140,Erythromycin (JP18/USP/INN); Akne-mycin (TN); Eryc (TN); Erygel (TN); Pce (TN); Staticin (TN); T-stat (TN)
139,dr:D00141,Indomethacin (USP); Indometacin (JP18/INN); Aconip (TN); Indocin (TN)
140,dr:D00142,Methotrexate (JP18/USP/INN); Otrexup (TN); Xatmep (TN)
141,dr:D00143,Pregnenolone (JAN/INN)
142,dr:D00144,Pyrazinamide (JP18/USP/INN); Pyrazinamide (TN)
143,dr:D00145,Trimethoprim (JAN/USP/INN); Proloprim (TN); Trimpex (TN)
144,dr:D00146,Corticotropin (USP/INN); ACTH (TN); Acthar (TN)
145,dr:D00147,Hyoscyamine (USP)
146,dr:D00148,Phytonadione (JP18/USP); Phytomenadione (INN); Mephyton (TN); Vitamin K1 (TN)
147,dr:D00149,Parachlorophenol (JAN/USP); p-Chlorophenol
148,dr:D00150,Angiotensin II (INN)
149,dr:D00151,Mefenamic acid (JP18/USP/INN); Ponstel (TN)
150,dr:D00152,Phloroglucinol (JAN); Dilospan S (TN)
151,dr:D00153,Testolactone (USP/INN); Teslac (TN)
152,dr:D00154,Santonin (JP18); Santonin (TN)
153,dr:D00155,Pentostatin (JAN/USAN/INN); Nipent (TN)
154,dr:D00156,Glycyrrhetinic acid (JAN); Enoxolone (INN); Hidermart (TN)
155,dr:D00157,Glycyrrhizin (JAN); Glycyrrhizic acid
156,dr:D00158,Tolmetin sodium (JAN/USP); Tolmetin sodium dihydrate; Tolectin (TN)
157,dr:D00159,Frentizole (USAN/INN)
158,dr:D00160,Aminocaproic acid (USP/INN); Epsilon-Aminocaproic acid (JAN); Amicar (TN)
159,dr:D00161,Mercaptopurine (USP); Mercaptopurine hydrate (JP18); Purinethol (TN); Purixan (TN)
160,dr:D00162,Aminosalicylic acid (USP); Pamisyl (TN); Paser (TN)
161,dr:D00163,Chenodiol (USAN); Chenodeoxycholic acid (JP18/INN); Chenix (TN)
162,dr:D00164,Retinol palmitate (JP18); Aquasol A (TN)
163,dr:D00165,Hydrocortisone acetate (JP18/USP); Cortifoam (TN); U-cort (TN)
164,dr:D00166,Cyanocobalamin (JP18/USP/INN); Cyomin (TN); Nascobal (TN); Rubramin PC (TN)
165,dr:D00167,Dimercaprol (JP18/USP/INN); BAL (TN)
166,dr:D00168,Cytarabine (JP18/USP/INN); ARA-C; Depocyt (TN)
167,dr:D00169,Meclofenamate sodium (USP); Meclofenamate sodium monohydrate; Meclomen (TN)
168,dr:D00170,Hymecromone (JP18/USAN/INN); Cantabiline (TN)
169,dr:D00171,Inulin (JAN/USP)
170,dr:D00172,Eptacog alfa (INN); Eptacog alfa (activated) (genetical recombination) (JAN); Coagulation Factor VIIa; Coagulation factor VIIa (recombinant)-jncw; Novo- seven (TN); Sevenfact (TN)
171,dr:D00173,Evodia fruit (JP18); Evodia fruit (TN)
172,dr:D00174,gamma-Amino-beta-hydroxybutyric acid (JAN)
173,dr:D00175,L-Carbocisteine (JP18); Mucodyne (TN)
174,dr:D00176,Protirelin (JP18/USAN/INN); Relefact TRH (TN)
175,dr:D00177,Methylmethionine sulfonium chloride (JAN); L-Methylmethionine sulfonium chloride; Cabagin U (TN)
176,dr:D00178,Octopamine hydrochloride (JAN)
177,dr:D00179,Androstenediol (JAN); Tetrabol (TN)
178,dr:D00180,Alprostadil (JP18/USP/INN); Prostin VR pediatric (TN); Caverject (TN); Edex (TN); Muse (TN)
179,dr:D00181,Argatroban (USP); Argatroban hydrate (JP18); Novastan (TN)
180,dr:D00182,Norethindrone (USP); Norethisterone (JP18); Camila (TN); Micronor (TN); Primolut-N (TN)
181,dr:D00183,Nalidixic acid (JP18/USP/INN); NegGram (TN)
182,dr:D00184,Cyclosporine (USP); Ciclosporin (JP18); Gengraf (TN); Neoral (TN); Restasis (TN); Sandimmune (TN)
183,dr:D00185,Estriol (JP18/USP); Estriel (TN)
184,dr:D00186,Ciprofloxacin (JP18/USP/INN); Cipro (TN); Otiprio (TN)
185,dr:D00187,Ergocalciferol (JP18/USP); Vitamin D2; Calciferol (TN); Drisdol (TN)
186,dr:D00188,Cholecalciferol (JP18/USP); Colecalciferol (INN); Vitamin D3; Delta-D (TN)
187,dr:D00189,Pregnanediol (JAN); Diol (TN)
188,dr:D00190,Rutin hydrate (JAN); Rutin trihydrate
189,dr:D00191,Vitamin B12; Nascobal (TN)
190,dr:D00192,Phenylethyl alcohol (USP)
191,dr:D00193,Dexpanthenol (USP/INN); Panthenol (JAN); Ilopan (TN)
192,dr:D00194,d-Limonene (JAN); Limonene
193,dr:D00195,Codeine (USP); Codeine hydrate
194,dr:D00196,Physostigmine (USP); Eserine (TN)
195,dr:D00197,Reserpine (JP18/USP/INN); Apoplon (TN); Serpalan (TN)
196,dr:D00198,Rescinnamine (JAN/INN); Tsuruselpi S (TN)
197,dr:D00199,Ajmaline (JP18); Ajimalin (TN)
198,dr:D00200,Cianidanol (JAN/INN)
199,dr:D00201,Tetracycline (JAN/USP/INN); Sumycin (TN)
200,dr:D00202,Nystatin (JP18/USP/INN); Mycostatin (TN)
201,dr:D00203,Amphotericin B (JP18/USP/INN); Ambisome (TN); Amphotec (TN); Fungizone (TN)
202,dr:D00204,Ampicillin (USP/INN); Anhydrous ampicillin (JP18); Omnipen (TN)
203,dr:D00205,Oxytetracycline (JAN/USP/INN); Oxytetracycline dihydrate; Terramycin (TN)
204,dr:D00206,Imipenem (USP); Imipenem hydrate (JP18)
205,dr:D00208,Mitomycin (USP/INN); Mitomycin C (JP18); MMC; Jelmyto (TN); Mitomycin (TN); Muamycin (TN)
206,dr:D00209,Griseofulvin (JAN/USP/INN); Gris-peg (TN); Grisactin V (TN)
207,dr:D00210,Norfloxacin (JP18/USP/INN); Noroxin (TN)
208,dr:D00211,Rifampin (USP); Rifampicin (JP18/INN); Rifadin (TN); Rimactane (TN)
209,dr:D00212,Vancomycin (USP); Vancocin (TN)
210,dr:D00213,Fusidate sodium (USAN); Sodium fusidate (JP18); Fucidin leo (TN)
211,dr:D00214,Dactinomycin (USP); Actinomycin D (JP18); Cosmegen (TN)
212,dr:D00215,Trolamine (NF); Mobisy (TN)
213,dr:D00216,Acarbose (JAN/USAN/INN); Precose (TN)
214,dr:D00217,Acetaminophen (JP18/USP); Paracetamol (INN); Tylenol (TN)
215,dr:D00218,Acetazolamide (JP18/USP/INN); Diamox (TN)
216,dr:D00219,Acetohexamide (JP18/USP/INN); Dymelor (TN)
217,dr:D00220,Acetohydroxamic acid (USP/INN); Lithostat (TN)
218,dr:D00221,Acetylcysteine (JP18/USP/INN); Mucomyst (TN)
219,dr:D00222,Acyclovir (USP); Aciclovir (JP18/INN); Sitavig (TN); Zovirax (TN)
220,dr:D00223,Lincomycin (USAN/INN); LCM
221,dr:D00224,Allopurinol (JP18/USP/INN); Zyloprim (TN)
222,dr:D00225,Alprazolam (JP18/USP/INN); Xanax (TN)
223,dr:D00226,Amifostine (USP); Amifostine hydrate; Ethyol (TN)
224,dr:D00227,Aminophylline (USP/INN); Somophyllin (TN); Theophylline ethylenediamine (TN)
225,dr:D00228,Amoxapine (JP18/USP/INN); Asendin (TN)
226,dr:D00229,Amoxicillin (USP); Amoxicillin hydrate (JP18); Amoxicilline (INN); Amoxicillin trihydrate; Amoxil (TN); Dispermox (TN); Pasetocin (TN)
227,dr:D00230,Amoxicillin and potassium clavulanate; Amoxicillin and clavulanate potassium
228,dr:D00231,Inamrinone (USP); Amrinone (JAN/INN); Amcoral (TN)
229,dr:D00232,Anisotropine methylbromide (USAN); Octatropine methylbromide (INN); Methyloctatropine bromide (JAN); Valpin (TN); Valpin 50 (TN)
230,dr:D00233,Anthralin (USP); Dithranol (INN); Anthraderm (TN)
231,dr:D00234,Astemizole (JAN/USP/INN); Hismanal (TN)
232,dr:D00235,Atenolol (JP18/USP/INN); Tenormin (TN)
233,dr:D00236,Atovaquone (JAN/USP/INN); Mepron (TN)
234,dr:D00237,Auranofin (JP18/USAN/INN); Ridaura (TN)
235,dr:D00238,Azathioprine (JP18/USP/INN); Azasan (TN); Imuran (TN); Jayempi (TN)
236,dr:D00240,Aztreonam (JP18/USP/INN); Azactam (TN)
237,dr:D00241,Baclofen (JP18/USP/INN); Kemstro (TN); Lioresal (TN)
238,dr:D00242,Benzonatate (USP/INN); Tessalon perles (TN)
239,dr:D00243,Benzquinamide (USAN)
240,dr:D00244,Betamethasone (JP18/USP/INN); Celestone (TN); Rinderon (TN)
241,dr:D00245,Bisacodyl (JP18/USP/INN); Dulcolax (TN)
242,dr:D00246,Budesonide (JAN/USP/INN); Entocort EC (TN); Pulmicort (TN); Rhinocort (TN); Uceris (TN)
243,dr:D00247,Bumetanide (JP18/USP/INN); Bumex (TN)
244,dr:D00248,Busulfan (JP18/USP/INN); Myleran (TN)
245,dr:D00249,Calcitonin salmon (JP18/USP/INN); Salmon calcitonin; Calcimar (TN); Fortical (TN); Miacalcin (TN)
246,dr:D00250,Capsaicin (JAN/USP); Zostrix (TN)
247,dr:D00251,Captopril (JP18/USP/INN); Apopril (TN); Capoten (TN)
248,dr:D00252,Carbamazepine (JP18/USP/INN); Equetro (TN); Tegretol (TN)
249,dr:D00253,Carbidopa hydrate and levodopa; Parcopa (TN); Sinemet (TN)
250,dr:D00254,Carmustine (JAN/USP/INN); Bicnu (TN); Gliadel (TN)
251,dr:D00255,Carvedilol (JP18/USP/INN); Artist (TN); Coreg (TN)
252,dr:D00256,Cefaclor (JP18); Cefaclor anhydrous; Alenfral (TN)
253,dr:D00257,Cefadroxil (JP18); Sumacef (TN)
254,dr:D00258,Cefixime (INN)
255,dr:D00259,Ceforanide (USP/INN); Precef (TN)
256,dr:D00260,Cefotetan (JP18/USP/INN)
257,dr:D00261,Cefprozil (USP); Cefprozil monohydrate; Cefzil (TN)
258,dr:D00262,Cefuroxime (USAN/INN); Cefuroxime (TN)
259,dr:D00263,Cefalexin (JP18); Cephalexin; Keflex (TN)
260,dr:D00264,Cephradine (USP); Cefradine (JAN/INN); Anspor (TN); Velosef (TN)
261,dr:D00265,Chloral hydrate (JP18/USP); Noctec (TN)
262,dr:D00266,Chlorambucil (JAN/USP/INN); Leukeran (TN)
263,dr:D00267,Chlordiazepoxide (JP18/USP/INN); Libritabs (TN)
264,dr:D00268,Chlormezanone (JAN/INN); Trancopal (TN)
265,dr:D00269,Chlorotrianisene (INN); TACE (TN)
266,dr:D00270,Chlorpromazine (USP/INN); Thorazine (TN)
267,dr:D00271,Chlorpropamide (JP18/USP/INN); Diabinese (TN)
268,dr:D00272,Chlorthalidone (USP); Chlortalidone (JAN/INN); Hygroton (TN); Thalitone (TN)
269,dr:D00273,Cidofovir (USAN/INN); Cidofovir dihydrate; Vistide (TN)
270,dr:D00274,Cisapride (USP/INN)
271,dr:D00275,Cisplatin (JP18/USP/INN); Platinol (TN)
272,dr:D00276,Clarithromycin (JP18/USP/INN); Biaxin (TN)
273,dr:D00277,Clindamycin (USAN/INN); Cleocin (TN)
274,dr:D00278,Clofazimine (JAN/USP/INN); Lamprene (TN)
275,dr:D00279,Clofibrate (JP18/USP/INN); Atromid-S (TN)
276,dr:D00280,Clonazepam (JP18/USP/INN); Klonopin (TN)
277,dr:D00281,Clonidine (JAN/USP/INN); Catarpres-TTS (TN)
278,dr:D00282,Clotrimazole (JP18/USP/INN); Lotrimin (TN); Mycelex (TN)
279,dr:D00283,Clozapine (JAN/USP/INN); Clozaril (TN)
280,dr:D00284,Cosyntropin (USP); Tetracosactide (INN); Cortrosyn (TN)
281,dr:D00285,Co-Trimoxazole (BAN); Sulfamethoxazole and trimethoprim; Bactrim (TN); Septra (TN)
282,dr:D00286,Cyclandelate (JAN/USP/INN); Cyclospasmol (TN)
283,dr:D00287,Cyclophosphamide (USP); Cyclophosphamide hydrate (JP18); Cytoxan (TN); Neosar (TN)
284,dr:D00288,Dacarbazine (JAN/USP/INN); DTIC-Dome (TN)
285,dr:D00289,Danazol (JP18/USP/INN); Danocrine (TN)
286,dr:D00290,Demeclocycline hydrochloride (USP); Demethylchlortetracycline hydrochloride (JP18); Declomycin (TN)
287,dr:D00291,Desmopressin (INN)
288,dr:D00292,Dexamethasone (JP18/USP/INN); Decadron (TN); Maxidex (TN)
289,dr:D00293,Diazepam (JP18/USP/INN); Diastat (TN); Valium (TN)
290,dr:D00294,Diazoxide (JAN/USP/INN); Hyperstat (TN); Proglycem (TN)
291,dr:D00295,Cimetidine (JP18/USP/INN); Tagamet (TN)
292,dr:D00296,Didanosine (JAN/USP/INN); Videx (TN)
293,dr:D00297,Digitoxin (JAN/USP/INN); Crystodigin (TN)
294,dr:D00298,Digoxin (JP18/USP); Lanoxicaps (TN); Lanoxin (TN)
295,dr:D00299,Dihydrotachysterol (JAN/USP/INN); Hytakerol (TN)
296,dr:D00300,Diphenhydramine (JP18/INN); Restamin (TN)
297,dr:D00301,Atropine sulfate and diphenoxylate hydrochloride; Diphenoxylate and atropine; Lomotil (TN)
298,dr:D00302,Dipyridamole (JP18/USP/INN); Persantine (TN)
299,dr:D00303,Disopyramide (JP18/USAN/INN); Rythmodan P (TN)
300,dr:D00304,Divalproex sodium (USP); Valproate semisodium (INN); Depakote (TN)
301,dr:D00305,Docusate sodium (USP); Sodium dioctyl sulfosuccinate (INN); Dioctyl sodium sulfosuccinate (JAN); Colace (TN)
302,dr:D00306,Dronabinol (USP/INN); Tetrahydrocannabinol; Marinol (TN)
303,dr:D00307,Doxycycline (USP); Doxycycline hydrate; Monodox (TN); Oracea (TN); Vibramycin (TN)
304,dr:D00308,Droperidol (JP18/USP/INN); Droleptan (TN); Inapsine (TN)
305,dr:D00309,Metoprine (USAN)
306,dr:D00310,Enoxacin (USAN/INN); Penetrex (TN)
307,dr:D00311,Estazolam (JP18/USP/INN); ProSom (TN)
308,dr:D00312,Estrone sodium sulfate; Sodium estrone sulfate
309,dr:D00313,Ethacrynic acid (USP); Etacrynic acid (JP18/INN)
310,dr:D00314,Etidronate disodium (JP18/USP); Didronel (TN)
311,dr:D00315,Etodolac (JP18/USP/INN); Lodine (TN)
312,dr:D00316,Etretinate (JAN/USAN/INN); Tegison (TN)
313,dr:D00317,Famciclovir (JAN/USP/INN); Famvir (TN)
314,dr:D00318,Famotidine (JP18/USP/INN); Fluxid (TN); Pepcid (TN)
315,dr:D00319,Felodipine (JP18/USP/INN); Plendil (TN)
316,dr:D00320,Fentanyl (JAN/USP/INN); Duragesic (TN); Subsys (TN)
317,dr:D00321,Finasteride (JAN/USP/INN); Propecia (TN); Proscar (TN)
318,dr:D00322,Fluconazole (JP18/USP/INN); Diflucan (TN)
319,dr:D00323,Flucytosine (JP18/USP/INN); Ancobon (TN)
320,dr:D00324,Flunisolide (JAN/USP); Aerospan (TN); Nasalide (TN)
321,dr:D00325,Fluocinonide (JP18/USP/INN); Lidex (TN); Vanos (TN)
322,dr:D00326,Fluoxetine (USAN/INN); Fluoxetine (TN)
323,dr:D00327,Fluoxymesterone (JAN/USP/INN); Androxy (TN); Halotestin (TN)
324,dr:D00328,Flurandrenolide (USP); Fludroxycortide (JAN/INN); Cordran (TN)
325,dr:D00329,Flurazepam (JAN/INN); Insumin (TN)
326,dr:D00330,Flurbiprofen (JP18/USP/INN); Ansaid (TN)
327,dr:D00331,Furosemide (JP18/USP/INN); Frusemide; Lasix (TN)
328,dr:D00332,Gabapentin (JAN/USP/INN); Neurontin (TN); Gralise (TN)
329,dr:D00333,Ganciclovir (JAN/USP/INN); Cytovene (TN); Vitrasert (TN); Zirgan (TN)
330,dr:D00334,Gemfibrozil (JAN/USP/INN); Lopid (TN)
331,dr:D00335,Glipizide (USP/INN); Glucotrol (TN)
332,dr:D00336,Glyburide (USP); Glibenclamide (JP18/INN); Diabeta (TN); Glynase (TN); Micronase (TN)
333,dr:D00337,Guaifenesin (JP18/USP/INN); Hustosil (TN); Robitussin (TN)
334,dr:D00338,Halazepam (USAN/INN); Paxipam (TN)
335,dr:D00339,Haloprogin (JAN/USAN/INN); Halotex (TN)
336,dr:D00340,Hydrochlorothiazide (JP18/USP/INN); Esidrix (TN); Microzide (TN)
337,dr:D00341,Hydroxyurea (USP); Hydroxycarbamide (JAN/INN); Droxia (TN); Hydrea (TN); Siklos (TN)
338,dr:D00342,Idoxuridine (JP18/USP/INN); Dendrid (TN); Herplex (TN)
339,dr:D00343,Ifosfamide (JAN/USP/INN); Ifex (TN)
340,dr:D00344,Imipenem and cilastatin sodium (JP18); Primaxin (TN)
341,dr:D00345,Indapamide (JP18/USP); Lozol (TN); Natrix (TN)
